school,program,decision,GPA,GRE,GRE_AW
Emerson College,Speech-Language Pathology,Rejected,3.6,156.0,5.0
Georgia Institute of Technology,Cognition And Brain Science (Psychology),Accepted,3.63,158.0,5.0
University of California (UCLA),Public Health Community Health Sciences,Rejected,3.7,780.0,4.0
University Of Washington,Public Health Health Services,Rejected,3.7,780.0,4.0
SUNY Buffalo,English,Accepted,3.99,168.0,4.0
Duke University,English,Accepted,4.0,162.0,5.5
Queens University,Clinical Psychology,Rejected,3.9,81.0,92.0
University of California,Philosophy,Accepted,4.0,169.0,5.0
Boston University,Biology,Rejected,3.34,161.0,4.5
University of California,Buddhist Study,Rejected,3.43,164.0,4.0
SUNY Buffalo,English,Accepted,3.9,155.0,5.0
Purdue University,Aerospace Engineering,Accepted,4.0,166.0,4.0
SUNY Buffalo,English,Accepted,4.0,163.0,6.0
SUNY Buffalo,Englsih,Accepted,3.98,163.0,4.0
University of Georgia,Genetics,Accepted,3.5,157.0,4.0
Texas A&M - The Bush School,International Affairs,Rejected,3.72,660.0,4.0
"University of California, Irvine",Computer Science,Accepted,3.04,159.0,4.0
University Of Illinois-Chicago (UIC),Social Psychology,Rejected,3.6,158.0,4.5
University of California,Physics,Accepted,3.8,164.0,4.0
Princeton University,Atmospheric And Oceanic Science,Accepted,3.96,164.0,4.5
University of Massachusetts Amherst,Computer Science,Accepted,3.65,155.0,4.5
University of Pennsylvania,Chemical Engineering,Rejected,3.63,162.0,4.0
University of Wisconsin,Political Science,Rejected,3.53,152.0,5.0
University of Texas at Austin,History (Latin America),Rejected,3.63,167.0,4.0
Univerity Of Illinois At Urbana Champaign (UIUC),Chemistry,Rejected,3.34,161.0,5.0
Stony Brook University,Political Science,Accepted,3.83,165.0,4.5
University of Chicago,Political Science,Accepted,3.88,152.0,3.5
University Of North Carolina - Chapel Hill,Religious Studies,Rejected,4.0,168.0,5.5
Massachusetts Institute of Technology (MIT),Chemistry,Accepted,3.84,150.0,5.0
University of Michigan,Higher Education,Accepted,3.76,166.0,6.0
University of North Carolina (UNC),Religious Studies,Rejected,3.9,157.0,6.0
University Of North Carolina Chapel Hill (UNC),Religious Studies - Islamic Studies,Rejected,3.9,157.0,5.0
University of Chicago,Political Science (Theory),Accepted,3.82,710.0,5.5
University Of Texas San Antonio (UTSA),Physics,Accepted,4.0,161.0,5.0
Rice University,Physics,Accepted,4.0,161.0,5.0
University of Colorado Boulder,Cognitive Psychology,Rejected,3.7,159.0,4.5
Ohio University-Main Campus,Experimental Psychology,Rejected,3.97,155.0,4.5
University of Iowa,Cognitive Psychology,Rejected,3.7,159.0,4.5
University of Denver,Affect/Social,Rejected,3.97,155.0,4.5
University of Wisconsin,Political Science,Rejected,3.69,170.0,4.0
University of Texas at Austin,History (Middle East),Rejected,3.73,790.0,4.5
Stanford University,Civil And Environmental Engineering,Accepted,2.91,162.0,3.4
University of Wisconsin,Political Science,Rejected,3.8,162.0,5.5
University Of Wisconsin,Political Science,Rejected,3.4,165.0,5.5
University of Wisconsin,Political Science (IR),Rejected,3.9,166.0,4.0
Central Michigan University,History,Accepted,3.62,149.0,4.0
University of Maryland,Material Science And Engineering,Accepted,3.56,160.0,4.5
Ohio State University (OSU),Physics,Accepted,3.76,166.0,4.0
"University Of Michigan, Ann Arbor",Chemical Engineering,Accepted,4.0,168.0,4.0
University Of Waterloo,Computer Science,Accepted,3.7,170.0,5.0
UC San Diego (UCSD),Physics,Accepted,3.76,166.0,4.0
University of Chicago,Political Science IR,Accepted,3.62,159.0,6.0
Iowa State University,Chemical Engineering,Rejected,3.26,170.0,3.5
Columbia University,Neuroscience,Rejected,3.5,165.0,4.0
New Mexico State University,Mechanical Engineering,Accepted,3.04,165.0,3.5
University Of Alabama,Parent And Family Life Education,Accepted,3.75,149.0,4.5
University of Chicago,English,Rejected,3.78,160.0,5.0
University of Chicago,English,Accepted,3.8,144.0,4.5
University of Chicago,English,Accepted,3.78,170.0,5.0
Tufts University,Cognitive Psychology,Rejected,3.5,161.0,4.0
University of Chicago,English,Accepted,3.59,154.0,5.5
University of Chicago,Near Eastern Languages And Civilization,Accepted,3.67,149.0,4.0
University Of Utah,Computer Science,Accepted,3.5,154.0,3.5
LIU Brooklyn,Clinical Psychology,Rejected,3.9,170.0,5.5
Rutgers GSAPP,Clinical Psychology,Rejected,3.9,170.0,5.5
Carnegie Mellon University,Master Of Science In Intelligent Information Systems,Rejected,3.95,150.0,3.0
University of Pennsylvania,Chemical Engineering,Rejected,3.54,170.0,4.5
University Of Tennessee,Sociology,Rejected,3.9,156.0,5.0
Oregon State University,Microbiology,Rejected,3.4,153.0,4.5
Columbia University,Latin American And Iberian Cultures (also ICLS),Rejected,3.6,157.0,5.0
Miami University (OH),Speech Pathology,Rejected,3.0,162.0,3.5
University Of Washington (Seattle),Applied Mathematics,Accepted,3.7,167.0,4.0
University of Texas at Austin,Latin American History,Accepted,3.2,740.0,4.0
Duke University,Statistical Science,Rejected,3.5,167.0,3.5
Yale University,Computational Biology and Bioinformatics,Accepted,3.9,170.0,6.0
Massachusetts Institute of Technology (MIT),Physics,Rejected,3.82,800.0,3.5
Penn State University,Astronomy and Astrophysics,Accepted,3.82,800.0,3.5
Yale University,Astronomy,Accepted,3.82,800.0,3.5
University of Chicago,Astronomy and Astrophysics,Accepted,3.82,800.0,3.5
California Institute of Technology,Astronomy and Astrophysics,Accepted,3.82,800.0,3.5
Princeton University,Astrophysical Sciences,Accepted,3.82,800.0,3.5
University of California,Electrical And Computer Engineering,Accepted,3.72,152.0,3.0
Notre Dame College,Philosophy,Rejected,4.0,165.0,5.5
Ohio State University,Art History,Accepted,3.65,151.0,4.5
University Of Minnesota,Chemistry,Accepted,3.4,168.0,4.0
University of California,Bioinformatics,Wait,3.3,800.0,3.0
Baylor College of Medicine,Molecular And Human Genetics,Rejected,3.3,800.0,3.0
University of California,Bioengineering,Rejected,3.3,800.0,3.0
Johns Hopkins University,Human Genetics And Molecular Biology,Rejected,3.6,800.0,3.0
Joint CMU-Pitt Ph.D. Program in Computational Biology (CPCB),Computational Biology,Rejected,3.57,169.0,3.0
University of California (UCLA),Political Science,Accepted,3.8,166.0,5.0
MIT-Harvard,HST - MEMP,Rejected,3.93,170.0,5.0
Princeton University,Structural Engineerin,Rejected,3.29,165.0,4.0
University Of Virginia,Physics,Accepted,8.89,170.0,3.5
University Of Minnesota Twin Cities,Chemistry,Accepted,3.34,161.0,5.0
University Of Washington,Computer Science (Machine Learning),Accepted,3.95,170.0,3.5
University of Texas at Austin,Chemistry,Accepted,3.98,157.0,4.0
California Institute of Technology,Materials Science,Rejected,3.87,170.0,5.5
University Of Washington,Applied Math,Accepted,3.62,700.0,4.5
University of Colorado Boulder,Chemical And Biological Engineering,Accepted,3.48,167.0,3.5
Tufts University,Social Psychology,Rejected,4.0,164.0,4.5
University of Texas at Austin,Chemical Engineering,Rejected,3.5,168.0,4.5
USC,Marine Biology & Biological Oceanography,Rejected,3.56,640.0,4.0
University of Nebraska,Agricultural Economics,Accepted,3.74,157.0,4.0
Oregon State University,Industrial Engineering,Rejected,3.78,800.0,3.0
Northwestern Kellogg,MECS,Accepted,4.0,170.0,3.0
Montana State University,Mathematics,Accepted,3.93,156.0,3.5
Cornell University,Mechanical Engineering,Accepted,3.71,520.0,4.5
Penn State PSU,Pure Mathematics,Accepted,3.7,170.0,3.0
University Of Washington,Earth And Space Sciences,Accepted,3.98,161.0,4.0
University Of Minnesota,Chemistry (Organic),Accepted,3.34,167.0,4.0
University of California,Geography,Rejected,3.4,157.0,3.0
University of Vermont,Clinical Psychology,Rejected,3.88,660.0,5.0
Purdue University,Counseling Psychology,Accepted,3.05,159.0,5.5
University of California (UCLA),Linguistics,Accepted,3.96,157.0,4.0
Pacific University,Clinical Psychology,Rejected,3.83,158.0,4.0
University of Pennsylvania,Computer Science,Rejected,3.7,168.0,4.0
Northwestern University,Physics,Accepted,3.8,168.0,4.5
Brandeis University,Physics,Accepted,3.83,168.0,4.5
University of California,Philosophy,Accepted,4.0,158.0,5.0
University of Wisconsin,Statistics,Accepted,3.76,165.0,4.5
"The State University Of New York, Albany",I/O Psychology,Accepted,3.78,780.0,4.0
Midwestern University,Speech Pathology,Rejected,4.0,149.0,4.5
University of California,Sociology,Accepted,3.81,670.0,4.5
New York University,Physics,Accepted,3.6,580.0,3.0
University Of Washington,Electrical Engineering,Accepted,3.7,166.0,3.5
University Of Wisconsin (Madison),Physics,Rejected,3.75,164.0,4.7
University of Michigan,Physics,Accepted,3.6,168.0,3.5
University Of Virginia,Philosophy,Accepted,3.85,160.0,5.5
University of California,Philosophy,Accepted,3.85,160.0,5.5
Columbia University,Earth Science,Rejected,3.94,163.0,4.0
Johns Hopkins University,Computer Science,Rejected,3.64,163.0,5.0
Purdue University,Aerospace & Astronautics,Accepted,3.22,169.0,4.0
Duke University,Political Science,Wait,3.52,160.0,6.0
Graduate Theological Union (GTU),Interdisciplinary Studies,Accepted,3.12,161.0,5.5
University of Michigan,IPCAA,Wait,4.0,155.0,5.5
University Of Washington,Statistics,Rejected,3.92,169.0,3.5
University of Texas at Austin,Sociology,Accepted,3.43,165.0,5.0
University of Delaware,Public Administration,Accepted,3.43,156.0,3.5
Boston University,"Molecular Biology, Cell Biology And Biochemistry (MCBB)",Rejected,3.0,157.0,2.5
University of Maryland Global Campus,Student Affairs,Rejected,3.5,162.0,5.0
University of San Francisco,Higher Education & Student Affairs,Rejected,3.2,155.0,5.5
Brown University,Chemistry,Accepted,3.95,63.0,4.0
University of Colorado Boulder,Chemical Engineering,Rejected,3.0,154.0,4.5
Gerstner Sloan Kettering,"Louis V. Gerstner, Jr. Graduate School Of Biomedical Sciences",Wait,3.3,780.0,3.5
University of Colorado Boulder,Chemical Engineering,Rejected,3.38,166.0,4.5
Carnegie Mellon University,Robotics,Accepted,3.76,168.0,3.5
The Rockefeller University,The David Rockefeller Graduate Program,Rejected,3.3,780.0,3.5
University of Michigan,Social Psychology,Rejected,3.84,152.0,4.0
Ohio State University,Philosophy,Accepted,3.81,670.0,4.5
Gerstner Sloan Kettering,Cancer Biology,Accepted,3.43,161.0,5.5
Rockefeller University,David Rockefeller Graduate Program,Rejected,3.82,166.0,4.0
Central Michigan University,Industrial/Organizational Psychology,Wait,3.74,159.0,3.5
Rockefeller University,The David Rockefeller Graduate Program,Rejected,2.9,680.0,4.5
University of California (UCLA),French and Francophone Studies,Accepted,3.83,152.0,5.5
UW Madison,Chemistry,Accepted,3.82,158.0,4.5
University of Chicago,Chemistry,Accepted,3.82,158.0,4.5
Stanford University,Chemistry,Accepted,3.82,158.0,4.5
"Robotics Institute, Carnegie Mellon University",Robotics,Accepted,3.96,169.0,3.0
Emory University,Biostatistics,Rejected,4.0,800.0,5.0
Appalachian State University,Health Psychology,Rejected,3.89,157.0,4.5
University of Kansas,"Russian, East European, and Eurasian Studies",Accepted,3.94,163.0,3.5
Brown University,Chemistry,Accepted,3.7,155.0,3.5
Emory University,Biostatistics,Rejected,3.55,170.0,4.5
Univeristy Of Connecticut,Physics,Accepted,4.0,150.0,3.0
University of Michigan,Social Psychology,Rejected,3.76,161.0,4.0
University of Texas at Austin,Mathematics,Accepted,4.0,170.0,4.5
University of Wisconsin,Population Health,Accepted,3.86,164.0,5.5
University of Texas at Austin,Chemical Engineering,Rejected,4.0,165.0,3.0
Texas Tech University,English,Wait,3.87,159.0,5.0
University of Michigan,Cognitive Psychology,Rejected,3.6,157.0,2.0
University of Michigan,Social Psychology,Rejected,4.0,169.0,4.0
University Of Minnesota--Twin Cities,American Studies,Rejected,3.87,630.0,5.0
University of Michigan,Clinical Psychology,Rejected,3.92,163.0,4.5
Dartmouth College,MCB,Rejected,3.6,153.0,4.0
University of Michigan,Psychology (Cognition And Cognitive Neuroscience),Rejected,3.9,159.0,4.0
University of Michigan,Social Psychology,Rejected,3.6,160.0,4.0
University of Michigan,Developmental Psychology,Rejected,3.1,750.0,5.5
Carnegie Mellon University,Robotics,Accepted,3.9,170.0,4.5
University Of Minnesota - Twin Cities,American Studies,Rejected,3.5,570.0,6.0
University Of Virginia,Chemistry,Accepted,3.4,161.0,3.5
NC State University,Computer Engineering,Accepted,3.2,164.0,4.0
University of Michigan,Social Psychology,Rejected,3.65,159.0,5.0
Carnegie Mellon University,Language Technologies Institute (LTI),Rejected,3.0,800.0,3.5
University of California,Sociology,Accepted,4.0,158.0,5.5
University of Wisconsin,Rhetoric and Composition,Accepted,3.59,147.0,5.5
University of Oregon,Sociology,Accepted,3.95,150.0,4.0
Duke University,Philosophy,Accepted,4.0,158.0,5.0
Cornell University,Civil Engineering (Structural),Accepted,3.57,159.0,4.5
"University of California, Irvine",Ecology and Evolutionary Biology,Rejected,3.31,162.0,4.5
Florida State University,Mechanical Engineering,Rejected,3.3,164.0,3.0
University of Oregon,Chemistry,Rejected,3.44,155.0,4.0
Columbia University,Political Science,Rejected,3.97,154.0,4.0
University Of Maryland- College Park,Chemistry,Accepted,3.29,156.0,3.5
University of Texas at Austin,Chemical Engineering,Rejected,3.64,790.0,4.5
University Of North Carolina At Charlotte (UNCC),Computer Science,Accepted,3.54,165.0,3.0
Emory University,Biostatistics,Rejected,3.74,170.0,4.5
Northwestern University,Biomedical Engineering,Accepted,3.91,168.0,4.0
UNC-Charlotte,Finance,Rejected,3.8,770.0,3.0
University Of California: Los Angeles (UCLA),Mathematics,Rejected,3.88,170.0,5.0
The College of Saint Rose,Speech Pathology,Accepted,3.7,145.0,4.5
University of Vermont,Clinical Psychology,Rejected,3.96,161.0,5.0
Cornell College,"Biochemistry, Molecular & Cell Biology",Rejected,3.5,165.0,4.0
University of Illinois Urbana,Chemistry,Rejected,3.13,162.0,4.5
University of Illinois Urbana,Chemistry,Rejected,3.13,151.0,4.5
Duke University,Philosophy,Accepted,3.77,155.0,5.5
"University of California, Irvine",Computer Science,Accepted,3.33,162.0,4.5
University of Texas at Austin,Mathematics,Accepted,4.0,167.0,3.5
Emory University,Biostatistics,Rejected,3.55,161.0,4.0
Virginia Tech,Developmental And Biological Psychology,Rejected,3.48,160.0,4.0
University of Pennsylvania,Art History,Accepted,3.91,163.0,4.5
Emory University,Political Science,Rejected,3.7,148.0,4.5
"University of California, Irvine",Chemistry,Accepted,3.51,162.0,5.0
University of California (UCLA),Pure Mathematics,Rejected,3.93,161.0,4.0
University Of Minnesota,Child Psychology,Rejected,3.1,750.0,5.5
University of Florida,Mechanical Engineering,Accepted,3.9,168.0,5.5
University Of Washington,Chemical Engineering,Accepted,3.65,166.0,4.5
University of Michigan,Chemical Engineering,Accepted,3.65,166.0,4.5
University of Texas at Austin,Astronomy,Wait,3.77,164.0,4.5
Northwestern University,Chemical Engineering,Accepted,3.65,166.0,4.5
University of Kansas,Clinical Psychology,Rejected,3.0,153.0,4.0
University of California (UCLA),Mathematics,Rejected,3.71,167.0,5.5
University of California (UCLA),Mathematics,Rejected,3.8,169.0,3.5
Duke University,Philosophy,Wait,3.84,165.0,5.0
University of California (UCLA),Pure Math,Rejected,3.8,161.0,3.0
"Peabody College, Vanderbilt University",Higher Education Administration,Accepted,3.16,156.0,4.0
University of Florida,Industrial And Systems Engineering,Rejected,3.62,160.0,4.5
Carnegie Mellon University,Computer Science,Accepted,3.95,162.0,3.5
University of Texas at Austin,Public Policy,Rejected,3.62,155.0,5.0
Pennsylvania State University,"Energy And Mineral Engineering,(Petroleum And Natural Gas)",Accepted,7.23,168.0,3.5
Pennsylvania State University,"Energy And Mineral Engineering,(PNG)",Accepted,7.23,168.0,3.5
University of Illinois Urbana-Champaign,Materials Science And Engineering,Rejected,3.52,165.0,3.0
University Of Utah,Bioengineering,Accepted,3.58,161.0,4.5
Brandeis University,Biophysics,Rejected,3.84,9.0,11.0
"University Of Pittsburgh, Carnegie Mellon University",Pittsburgh Molecular Biophysics + Structural Biology,Rejected,3.81,170.0,5.5
University of California (UCLA),Mathematics,Rejected,4.0,169.0,5.0
University of California (UCLA),Pure Mathematics,Rejected,3.66,167.0,5.0
University Of Leeds,Medieval Studies,Accepted,3.98,153.0,4.5
University of California (UCLA),Mathematics,Rejected,3.74,158.0,3.5
University of Chicago,"Astronomy And Astrophysics, PhD (F13)",Accepted,3.96,154.0,3.0
Virginia Tech,Electrical And Computer Engineering,Accepted,3.52,168.0,3.5
University of Texas,Computer Science,Accepted,7.93,166.0,3.0
Carnegie Mellon,Robotics,Accepted,3.5,169.0,5.0
Georgia Institute Of Technology,Mechanical Engineering,Rejected,3.6,154.0,3.5
University of California,Electrical Engineering,Rejected,3.85,800.0,4.0
Washington University in St. Louis (WashU/WUSTL),Biomedical Engineering,Accepted,3.76,168.0,5.0
University of Maryland Global Campus,Chemistry,Accepted,3.9,790.0,4.0
University of Illinois Urbana,Computer Science,Accepted,4.0,170.0,5.0
University of California,Materials Science,Accepted,3.33,165.0,4.0
University Of Santa Barbara,Linguistics,Rejected,3.8,153.0,4.5
UCI,Biomedical Engineering,Accepted,3.64,164.0,4.0
Massachusetts Institute of Technology (MIT),Biological Engineering,Rejected,3.64,164.0,4.0
University of Chicago,Astronomy and Astrophysics,Accepted,3.98,170.0,5.5
Ohio State University,Social Psychology,Rejected,4.0,166.0,4.5
Florida State University,Political Science,Accepted,3.7,156.0,4.5
Purdue University,Civil Engineering,Accepted,3.98,163.0,4.5
Ohio State University,Political Science,Accepted,3.7,148.0,4.5
Georgia Institute Of Technology,Biomedical Engineering,Accepted,3.91,168.0,4.0
"University of California, Irvine",Computer Science,Accepted,3.66,166.0,3.5
University of Vermont,Higher Education and Student Affairs,Rejected,3.84,800.0,4.5
Rensselaer Polytechnic Institute,Energy Sources And Systems,Rejected,3.5,154.0,3.0
University of Georgia,Infectious Diseases,Rejected,3.98,164.0,5.5
University of Chicago,Statistics,Accepted,3.87,161.0,3.0
University of Chicago,Statistics,Accepted,3.82,800.0,4.0
The Scripps Research Institute (California),Chemical Biology,Accepted,3.7,165.0,3.0
University of Chicago,Statistics,Accepted,4.0,170.0,5.0
Ohio State University,Physics,Accepted,4.0,167.0,5.0
Johns Hopkins University,Physics,Accepted,3.8,164.0,4.0
University Of Washington,Statistics,Rejected,4.0,163.0,4.5
SUNY Buffalo,Geography,Accepted,4.0,168.0,6.0
University of Denver,Social/Affect Psychology,Rejected,3.72,720.0,4.0
SUNY Stony Brook,Philosophy,Accepted,3.6,150.0,5.0
Stanford University,Statistics,Accepted,4.0,169.0,4.0
Ohio State University,Clinical Psychology,Rejected,3.44,148.0,5.0
Brown University,Cultural Anthropology,Rejected,3.84,164.0,4.5
University of Texas at Austin,Electrical Engineering,Accepted,3.93,800.0,4.5
Johns Hopkins University,Physics,Accepted,3.95,168.0,5.0
University of Texas at Austin,"Computer Engineering, ECE",Accepted,4.0,165.0,4.0
Iowa State University,Cognitive Psychology,Rejected,4.0,740.0,5.0
"University of Illinois Chicago
(UIC)",Philosophy,Accepted,4.0,158.0,6.0
Purdue University,Mathematics,Accepted,3.89,780.0,4.5
University of Georgia,Neuroscience,Accepted,3.64,167.0,4.5
Stanford University,Chemistry,Accepted,3.6,163.0,4.5
University of Toledo,Counseling,Rejected,3.49,154.0,4.5
University of Texas at Austin,Civil And Environmental Engineering,Rejected,2.91,162.0,3.5
Iowa State,Cognitive Psychology,Rejected,3.82,720.0,5.0
Stanford University,Statistics,Accepted,4.0,170.0,5.0
University of Illinois Urbana-Champaign,Chemical Engineering,Accepted,3.9,166.0,3.5
University of California,Biostatistics,Accepted,3.86,165.0,5.0
University Of Washington,Statistics,Rejected,3.8,170.0,4.0
Vanderbilt University - Peabody College,International Education Policy And Management,Accepted,3.5,149.0,4.5
University of California,Chemistry,Accepted,3.4,157.0,4.0
Brown University,Neuroscience,Wait,3.82,170.0,3.5
University Of Illinois Urbana-Champaign,Mathematics,Accepted,3.96,164.0,4.5
Penn State University,Political Science (International Relations),Accepted,3.8,159.0,5.0
Virginia Commonwealth University,Social Psychology,Rejected,3.86,165.0,5.0
American University,Public Policy,Accepted,3.4,159.0,5.5
Purdue University,Management,Rejected,3.8,167.0,3.5
University Of Washington,Statistics,Rejected,3.53,170.0,4.0
Delft University of Technology,Management of Technology,Accepted,3.27,167.0,4.0
University Of Washington,Statistics,Rejected,3.74,165.0,3.5
University of California,Biostatistics,Accepted,3.86,170.0,3.5
Johns Hopkins University,Physics,Accepted,3.76,166.0,4.0
Boston University,Biology,Rejected,3.34,161.0,4.5
University of California (UCSF),DSCB,Rejected,3.82,157.0,4.0
City College Of New York,Chemical Engineering,Accepted,3.85,166.0,3.5
University Of Washington,Statistics,Rejected,3.97,168.0,5.0
University of Michigan,Chemical Engineering,Accepted,3.79,170.0,4.0
Brown University,Anthropology (archaeology),Rejected,3.32,158.0,5.0
Brown University,Anthropology (Archaeology),Rejected,3.98,780.0,5.5
University of Texas at Austin,Medicinal Chemistry,Accepted,3.78,160.0,4.0
The University Of Tennessee,Graduate School Of Genome Science And Technology (GST),Rejected,3.2,152.0,3.0
Massachusetts Institute of Technology (MIT),Chemical Engineering,Accepted,3.89,170.0,4.0
University of Rochester,Translational Biomedical Science,Rejected,3.4,800.0,3.0
Massachusetts Institute of Technology (MIT),Biological Engineering,Rejected,3.45,168.0,5.0
American University,Public Policy,Accepted,4.0,166.0,6.0
University of California,Earth Science,Accepted,3.8,170.0,4.0
"Penn State University, Hershey Park Campus",Neuroscience,Rejected,3.16,159.0,4.0
Purdue University,Computer Science,Accepted,3.6,158.0,4.0
Ohio State University,History,Accepted,3.69,156.0,5.5
University of California,Pure Mathematics,Accepted,3.94,270.0,2.0
NC State University,Higher Education Administration,Rejected,3.73,146.0,4.5
Upenn,Electrical Engineering,Rejected,3.7,800.0,3.0
Indiana University,Higher Education and Student Affairs,Rejected,3.73,146.0,4.5
Rutgers University,Student Affairs,Rejected,3.73,146.0,4.5
Georgia Regents University,Biomedical Sciences,Accepted,3.64,167.0,4.5
Arizona State University,Anthropology (Archaeology),Accepted,4.0,161.0,4.0
Wayne State University,Clinical Psychology,Rejected,3.96,156.0,4.5
University of Kentucky,Sociology,Accepted,3.67,151.0,5.0
Ohio State University,Mathematics,Accepted,3.85,168.0,4.5
Ohio State University,Astrophysics,Accepted,3.36,163.0,4.0
University Of Minnesota,American Studies,Rejected,3.87,156.0,5.5
Penn State University,Astrophysics,Accepted,3.36,163.0,4.0
North Carolina State University (NCSU),Chemical Engineering,Accepted,3.63,165.0,5.0
University of Wisconsin,Spanish,Rejected,3.73,158.0,5.5
University of Chicago,Integrative Neuroscience (psychology),Rejected,3.65,160.0,4.5
University of California (UCSC),Visual Studies,Accepted,3.8,152.0,4.0
Clemson University,Computer Science,Rejected,3.5,158.0,3.5
Indiana University,Computer Science,Rejected,3.57,149.0,3.5
North Carolina State University,Electrical Engineering,Accepted,3.57,800.0,3.0
University of Wisconsin,"Rus, E Eur & Cent Asian Studies",Accepted,3.96,170.0,4.5
University Of Maryland (UMD),Linguistics,Rejected,3.96,157.0,4.0
American University,General Psychology (Social/Personality Concentration),Rejected,3.88,730.0,4.0
Cornell University,Chemical Engineering,Accepted,3.5,158.0,3.5
University Of Toronto,Electrical Engineering,Rejected,3.57,800.0,3.0
Stevens Institute of Technology,Network Information System,Accepted,2.62,166.0,2.5
Cornell University,Materials Science And Engineering,Accepted,3.9,170.0,5.5
Rice University,Computer Science,Accepted,3.67,166.0,3.0
Aberystwyth University,Archives Administration,Accepted,3.8,151.0,3.5
Berlin Mathematical School,Pure Math,Rejected,3.7,157.0,4.0
Johns Hopkins University,Biostatistics,Rejected,3.82,720.0,4.0
University Of Minnesota,Mechanical Engineering,Accepted,3.63,152.0,3.5
University of California (UCSB),Geography,Accepted,4.0,166.0,6.0
Duke University,Chemistry,Accepted,3.98,800.0,3.5
Purdue University,Medicinal Chemistry And Molecular Pharmacology,Accepted,3.98,800.0,3.5
Penn State University,Comparative Literature,Rejected,3.77,160.0,4.5
Massachusetts Institute of Technology (MIT),Biological Engineering,Rejected,3.8,163.0,5.5
UTHSC At San Antonio,IMGP,Rejected,3.0,162.0,3.0
Penn State University,Comparative Literature,Rejected,3.93,160.0,5.0
Carnegie Mellon University,Robotics,Accepted,3.96,166.0,4.0
Rice University,Physics,Accepted,3.8,164.0,4.0
Michigan - Ann Arbor,Physics,Accepted,3.8,164.0,4.0
Boston University,Physics,Accepted,3.8,164.0,4.0
IMPRS - LC,Biology,Rejected,2.3,160.0,3.5
University of Michigan,Biostatistics,Accepted,3.52,170.0,5.0
Carnegie Mellon University,"Computer Science, Language Technologies Institute",Accepted,4.0,170.0,5.0
Carnegie Mellon University,"Computer Science, Machine Learning",Accepted,4.0,170.0,5.0
University Of Alabama Huntsville,Computer Science,Accepted,3.62,800.0,4.0
Texas Tech University,Counseling Psychology,Rejected,3.56,610.0,4.5
Cornell University,Mechanical And Aerospace Engineering,Rejected,3.64,154.0,3.0
Boston University,Biostatistics,Rejected,3.7,169.0,4.5
University Of Maryland Baltimore,"Social Work, MSW",Accepted,3.87,159.0,5.5
Massachusetts Institute of Technology (MIT),Biological Engineering,Rejected,3.5,164.0,5.0
Duke University,American History,Rejected,3.88,154.0,5.5
University Illinois Chicago UIC,"Criminology, Law and Justice",Accepted,3.7,150.0,4.0
University of Southern California,Marine Biology And Biological Oceanography,Rejected,3.56,158.0,4.5
Arizona State University,Global Health,Accepted,3.9,163.0,4.0
Massachusetts Institute of Technology (MIT),Bioengineering,Rejected,3.91,164.0,4.5
University Of Washington,Bioengineering,Rejected,3.91,164.0,4.5
James Madison University,College Student Personnel Administration,Rejected,3.7,149.0,4.0
Xavier University,Clinical Psychology,Rejected,3.97,154.0,4.5
Columbia University,Biological Sciences,Rejected,3.74,158.0,3.5
University of Colorado Boulder,Chemistry,Accepted,3.7,730.0,3.0
Brown University,Physics,Rejected,3.9,166.0,4.5
Duke University,Literature,Rejected,4.0,162.0,5.0
University of California (UCSB),Sociology,Accepted,3.7,154.0,4.5
University of Michigan,Linguistics,Rejected,3.45,153.0,4.5
University of St Thomas,Counseling Psychology,Rejected,3.94,670.0,4.5
University Of Nebraska - Lincoln,Mathematics,Accepted,3.5,780.0,4.0
Clemson University,Human Factors,Accepted,3.8,158.0,4.5
University Of Toronto,Psychology,Rejected,3.71,168.0,4.5
University Of California Riverside (UCR),Biomedical Sciences,Accepted,3.01,164.0,4.0
Columbia University,Biological Sciences,Rejected,3.81,161.0,5.0
University of California,Biomedical Sciences,Wait,3.76,720.0,4.0
Columbia University,Electrical Engineering,Rejected,3.7,168.0,4.0
Ohio State University,Higher Education and Student Affairs,Rejected,3.81,150.0,5.0
University of Colorado Boulder,Chemistry,Accepted,3.7,168.0,4.0
University Of Nebraska - Lincoln,Mathematics,Accepted,3.89,780.0,4.5
University of California (UCSB),Chemical Engineering,Accepted,3.63,165.0,5.0
Stanford University,Biosciences (Neuroscience),Rejected,3.8,161.0,4.0
University Of Illinois At Chicago,Sociology,Accepted,3.75,156.0,5.5
University of California,Mathematics,Accepted,3.9,167.0,4.5
University Of Colorado,Chemistry (Organic),Accepted,3.7,156.0,5.0
University Of New Mexico,BSGP,Rejected,3.34,158.0,5.0
University of California,Sociology,Accepted,3.6,710.0,4.5
Indiana University,Communication And Culture (Film Studies),Accepted,4.0,630.0,4.0
Rice University,Computer Science,Accepted,3.7,165.0,3.5
Mayo Graduate School,Immunology,Rejected,3.4,800.0,3.0
Purdue University,Physics,Accepted,3.8,170.0,99.99
Nova Southeastern University,Audiology,Accepted,3.6,151.0,5.0
Stanford University,Bioengineering,Rejected,3.55,168.0,4.0
University of Texas at Austin,Chemistry,Rejected,3.9,158.0,5.5
Ecole Polytechnique Federale De Lausanne (EPFL),Bioengineering,Rejected,3.55,168.0,4.0
Boston University,Biostatistics,Rejected,3.7,168.0,5.0
